102-0,102-1,102-2,102-3,102-4,116-1,116-2,116-3,116-4,119-1,119-2,120-0,120-1,120-2,133-0,133-1,133-2,133-3,133-4,148-1,148-1.5,149-1,149-2,161-1,161-1.5,161-2,161-2.5,175-0,175-1,175-1.5,175-2,175-3,175-4,103-1,103-2,103-3,103-4,121-1,121-2,123-1,123-2,123-3,123-4,134-0,134-1,150-1,150-1.5,150-2,150-2.5,150-3,150-4,162-1,162-2,162-2.5,163-0,163-1,163-1.5,176-1,176-1.5,176-2,176-2.5,176-3,176-4,134-1a,134-1b,134-1c,134-1d,134-1e,105-1,105-2,105-3,124-0,124-1,124-2,124-3,124-4,136-1,136-2,138-0,138-1,138-2,138-3,138-4,151-0,151-1,151-2,151-2.5,151-3,151-3.5,151-4,165-1,165-1.5,165-2,165-2.5,165-3,165-3.5,106-1,106-2,106-3,106-4,126-0,126-1,126-2,126-3,126-4,139-0,139-1,139-2,139-3,139-4,140-1,140-2,140-3,140-4,152-1,152-1.5,152-2,152-2.5,152-4,167-1,167-2,167-2.5,167-3,167-4,108-0,108-1,109-0,109-1,109-2,109-3,109-4,127-0,127-1,127-2,127-3,127-4,142-1,142-2,142-3,142-4,143-0,143-1,153-1,153-2,153-2.5,153-3,153-3.5,153-4,168-0,168-1,168-1.5,168-2,168-2.5,168-3,168-4,114-0,114-1,114-2,114-3,114-4,129-1,129-2,129-3,129-4,130-0,130-1,144-0,144-1,144-2,144-3,144-4,155-0,155-1,155-1.5,155-2,155-3,155-4,169-0,169-1,169-1.5,169-2,169-2.5,169-3,169-4,115-0,115-1,115-2,115-3,115-4,115-5,115-6,115-7,115-8,131-1,131-2,131-3,131-4,145-0,145-1,145-1.5,145-2,145-2.5,145-3,145-4,158-1,158-1.5,158-2,170-0,170-1,170-1.5,170-2,170-3,170-3.5,170-4,145-1a,145-1b,145-1c,145-1d,145-1e,132-0,132-1,132-2,132-3,132-4,132-5,132-6,132-7,132-8,146-0,146-1,147-1,147-2,147-2.5,147-3,147-4,160-1,160-1.5,160-2,160-3,160-3.5,160-4,171-1,171-2,171-3,171-4,174-1,174-2,174-2.5,174-3,174-4
Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Recur,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Recur,Recur,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Recur,Recur,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Recur,Recur,Recur,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Recur,Recur,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared,Cleared
"5,772,042","61,018,680","16,368,542","28,125,958","25,380,620","38,728,724","137,196,960","50,930,148","9,252,960","75,022,504","65,077,364","11,199,458","15,042,621","33,520,224","23,826,730","8,708,393","36,040,456","51,151,024","91,296,840","4,346,854","6,326,274","5,670,538","3,342,456","28,084,204","26,704,450","14,929,640","15,671,907","1,754,429","11,268,334","8,389,710","18,390,056","6,090,099","18,182,300","40,590,080","2,596,878","29,500,928","5,126,332","16,980,824","27,388,910","49,611,984","76,458,520","79,184,656","128,176,864","39,563,516","28,323,024","18,208,476","16,960,794","48,926,704","11,028,324","54,244,152","29,722,090","34,590,708","17,967,454","1,800,759",,"15,230,313","13,021,021","36,811,760","34,249,136","13,199,311","11,130,963","16,369,674","132,309,992","46,902,476","18,167,548","44,870,248","46,222,144","37,952,864","6,027,591","6,356,772","8,431,168","12,588,865","20,884,908","25,066,452","87,662,664","113,972,056","10,431,188","14,186,999","4,504,761","42,186,828","21,208,338","79,264,688","7,720,185","10,820,478","67,786,552","63,862,532","111,762,032","78,300,496","104,334,304","83,476,200","4,096,770","12,046,663","3,664,273","5,597,377","10,490,087","10,008,886","15,373,939",,,"10,423,948","48,573,448","34,859,856","36,412,144","4,914,982","9,740,341","20,270,758",,"16,447,823","50,398,360","11,142,837",,"144,117,760","47,008,820","22,097,244","7,239,569","6,791,286","42,540,596","16,032,801","12,255,536","2,001,442","20,835,124","25,196,164","25,560,516","183,016,016","74,375,664","27,371,070","54,066,192","28,941,910","20,795,138","31,440,834","59,827,080","20,661,458","6,149,006","8,589,176","26,290,720","8,047,515","6,479,657","17,827,210","8,080,759","11,787,876","55,320,804","15,477,507","16,664,379","4,951,809","16,264,380","5,855,631","13,653,564","7,929,572","18,697,308","25,137,196","9,947,704","12,359,374","6,378,536","20,883,524","17,783,410","18,582,172","53,959,756","100,836,408","49,073,596","25,534,580","11,672,869","7,033,203","22,278,314","13,342,818","23,893,654","19,106,084","38,868,528","35,018,400","36,397,732","32,161,662","86,297,896","55,837,036","55,393,640","32,307,844","39,785,068","67,938,720","87,434,504","19,623,082","44,308,508","22,958,022","49,678,084","113,518,328","12,231,788","187,775,888","59,872,856","15,000,493","11,881,349","13,889,696","9,602,112","18,420,948","44,454,908","24,257,536","18,857,510","11,914,451","12,540,730","15,862,996","14,498,965","38,905,236","16,241,074","27,151,846","15,355,305","26,218,246","10,421,592","15,087,705","53,622,900","17,780,944","64,051,092","15,206,917","6,188,325","6,069,661","9,854,833","15,344,486","4,270,704","3,414,895","6,565,959","8,621,516","6,674,128","15,991,408","5,308,335","40,760,452","190,489,296","170,820,160","49,403,104","63,797,080","66,143,208","60,533,208","38,026,784","31,202,768","15,115,280","31,677,216","46,900,116","20,875,110","16,344,637","15,022,340","10,691,235","25,393,296","27,878,738","22,284,262","29,426,504","24,216,126","67,960,120","70,464,936","32,163,562","78,644,328","73,254,656","21,061,382","6,034,981","12,499,701","10,859,930","15,438,799"
,,,,,"147,370",,,"1,937,401",,,,,,,,,"204,709",,"103,783",,,,,,,,,,,,,,,"917,007",,,,,,,,,,"286,218",,"2,945,094","722,903","2,773,963","466,870","11,376,782","703,741",,,,,,,,,,,,"410,690","199,824","402,154","507,091","518,648","248,185",,,,,,,,,,,,,,,,,,,,,,,,"550,355","499,256","1,558,932",,"1,239,412","1,901,367","278,303",,,,,,,,,,,,,,"4,380,156","3,667,258",,,,,,,,,,,,,,,,,,,,,,,"9,210,128",,,,,,"1,424,558",,,"307,733","332,791","3,124,781",,,,"8,230,931","162,068",,,,,,,,"153,080",,"4,834,381","447,931",,,,"277,327",,"257,458",,,,,,,,,,,,,,,,,,,,,,,,,,,"441,661",,,,,,,,,,,,,,,,"5,576,219",,,,,,,"621,072",,,,,,"886,177",,"720,722",,,,,,,,,,,,,,,,,,,,,"114,057",
,,,,,"47,202",,,"8,500,838",,,,,,,,,"1,824,772","414,013","439,470","354,421",,,,"143,875","1,349,786","700,961",,"223,849",,,,,"137,680","2,238,572","108,976","322,343",,"61,948",,"182,766",,,"1,878,287","2,433,476",,"7,026,806","7,062,464","21,216,188","2,683,753","41,143,220","2,826,516",,,,"70,802",,"296,934",,,,,"371,743","3,258,887","1,654,164","2,801,916","2,665,004","2,507,363","75,207",,"958,367",,"77,531",,,,,,"184,530",,,,,"63,949",,,,,,,,"56,095","53,277","431,025","5,652,529","1,254,908","3,248,055","7,027,864","1,381,893","565,697",,"322,057","633,311",,"73,050",,,,"140,893","135,095",,,"16,240,561","15,930,385",,,,,"64,966",,,,,,,"223,186","280,753","1,661,643",,,,"275,615",,,"124,388",,"38,952,480",,,,,,"18,691,388","401,436","2,915,319","3,360,017","3,679,993","11,718,430","1,523,824",,,"50,706,836","930,580",,,,"71,776","659,605",,,"943,410","439,280","26,390,818","2,743,814",,,,,,,,"1,548,884","257,130","185,514","98,185","72,112","40,195",,,,,,,,,,,,,,,,,"111,773","97,781",,"3,252,295","206,017",,,,,,,,,,"75,027",,,,,"34,223",,,,,,,,,,,"234,731",,"7,357,420",,"5,012,962",,,,,,,,,,,,,,,,,,,,,"3,085,783","539,403"
,,,,,,,"59,647","40,856,720",,,"180,681",,,,,,"3,896,732","996,412","9,298,351","196,085",,,,,"3,155,956","1,606,226",,"423,023",,,,,"124,908","31,477,796","202,725","2,338,265",,,,,,,"3,250,491","2,998,650",,"9,098,413","8,388,805","33,188,132","4,989,524","90,711,296","6,634,267","133,444",,,,,,,,,,,"2,963,418","3,042,262","2,642,278","2,775,612","2,291,524","186,604",,"1,524,426",,,,,,,,"406,281",,,,,,,,,,,,,"52,371","90,140","898,151","11,972,921","2,582,322","5,335,324","9,537,161","1,259,384","1,280,879",,"135,759","2,046,044",,,,,,,,,"149,926","19,850,780","22,052,144",,,,,,,,,,,,"1,002,537",,"9,341,895","1,299,320",,,,,,,,"205,490,672","1,578,198","277,929",,,,"44,330,088","3,580,576","11,704,252","17,632,400","20,133,370","44,263,944","9,093,487",,"87,806","295,607,712","17,995,046","2,668,765","964,459",,"606,319","2,290,987","123,580",,"4,499,568","4,190,201","159,915,840","13,227,281",,,,,,,,"4,975,951","303,181","1,027,170","258,458","178,909",,,,,,,,,,,,,,,,"73,747",,"500,857","303,829",,"7,802,930","1,350,892",,,,,,"119,862",,,,,,,,,,,,,,,,"1,197,338",,,,"1,353,289",,"14,749,728",,"38,427,512",,,,,,,,,,,,,,,,,,,,"130,522","8,186,754","2,582,322"
"368,710","2,942,160","900,680","1,912,042","3,534,728","2,448,835","15,167,960","3,299,018","1,231,884","4,121,748","3,764,415","976,251","692,600","1,044,042","905,128","628,195","1,119,015","914,102","3,291,009","222,958","458,238","1,030,395","468,743","2,060,016","2,274,833","3,016,050","2,350,329","133,126","958,649","963,376","1,331,354","713,987","2,479,236","2,931,308","217,806","2,253,598","214,218","2,500,826","2,525,487","3,545,566","4,238,329","3,001,489","7,739,617","1,196,007","1,107,375","1,416,919","1,713,330","4,586,585","1,085,815","6,883,182","3,674,597","7,236,789","2,501,645","246,331","1,270,710","1,081,874","1,174,531","3,406,990","4,096,657","1,014,814","1,055,908","1,070,048","7,751,652","1,662,275","665,941","2,518,344","2,290,132","1,313,209","763,417","599,945","575,334","1,155,250","2,392,898","2,317,091","9,155,082","11,182,085","748,805","1,527,692","791,278","1,811,318","592,218","5,095,229","411,683","573,669","3,643,976","6,953,335","7,534,157","13,339,991","22,368,134","12,353,917","396,788","1,058,032","326,752","345,449","686,628","740,782","3,780,863","5,406,234","7,527,149","1,909,472","1,699,533","2,855,380","1,960,058","269,626","884,522","2,431,203","15,762,521","1,390,613","7,140,714","751,954","3,489,835","4,449,285","4,809,200","3,815,996","677,337","655,441","3,637,422","1,894,867","486,561","226,085","1,537,550","1,408,178","1,312,870","28,369,590","2,245,175","1,663,414","3,583,101","3,047,262","1,805,387","2,292,363","8,122,873","1,764,228","308,202","585,754","1,600,311","750,485","884,115","1,951,836","572,356","1,016,698","4,375,434","2,179,526","2,203,704","730,789","1,168,572","601,143","1,698,395","1,519,809","2,220,022","1,409,126","1,195,260","825,563","397,439","2,057,884","790,237","1,270,498","1,443,274","4,492,669","1,634,935","476,917","2,840,600","1,326,821","1,219,860","577,278","2,046,669","793,109","1,997,780","1,425,434","1,378,925","2,015,850","2,670,171","3,226,177","3,766,334","1,922,278","1,897,462","3,187,720","1,979,586","887,035","1,950,447","1,365,323","3,102,442","6,005,339","1,715,162","11,067,148","5,436,974","2,005,497","1,270,884","1,437,436","852,696","2,293,753","2,816,241","2,857,735","1,790,628","1,080,493","1,403,344","1,558,896","1,128,111","3,946,084","1,045,096","1,459,600","524,494","496,395","556,227","744,242","3,173,139","1,699,957","1,910,797","1,124,529","530,201","737,141","620,502","1,156,448","356,729","382,797","419,616","589,742","319,913","681,136","255,619","2,801,192","14,219,231","10,366,424","2,637,616","2,812,466","2,664,346","3,720,509","2,009,776","2,262,203","918,123","2,366,373","2,899,044","1,101,887","2,078,165","1,318,979","1,031,986","2,527,914","2,841,281","1,747,226","2,873,239","2,711,640","5,831,423","4,871,192","3,857,706","6,097,107","5,510,723","1,628,628","537,008","1,114,742","1,495,099","1,225,340"
"237,822",,,"26,564",,,,,,,"139,371","578,048",,"23,163","186,367","60,613","219,201","496,501","60,558","335,954","315,234",,,,,,"40,121","508,257",,,,,,,,,,"226,664",,,"329,979","106,572",,"216,431","250,218",,,"44,915","414,824","45,556","15,682","13,324",,"55,989","634,817","31,038","812,420",,"319,198","234,900","320,200","150,024",,"250,038","351,474","356,071","329,344","390,969",,"44,978",,"68,132",,,,"479,921","27,898","49,314","338,691","94,368",,,"44,342","632,580",,,"64,969","18,185","105,190","206,933",,,,"37,530","386,998","680,959",,,,,"829,815","450,382",,,,"366,560",,"148,731","47,538","26,880",,,,,,,,,,"26,321",,,,"34,745","282,300",,,,"98,819",,"43,106","262,675",,,"30,604",,,"34,242",,"191,724","166,507","177,152",,,"196,878",,,,,,,"48,738",,"33,463",,,,"133,861","93,661",,,,,,"840,928","712,443","1,484,309",,"582,454","331,649","857,019","1,968,884",,,,,"213,968","36,363",,,,,,,"35,392",,,,,,,,,,,,,"1,519,474","792,660","863,503","207,185","468,000","232,246","423,141","82,524","56,804",,"927,418",,,"67,092","85,834",,,"956,593","877,761","783,524","807,819","747,064",,"1,104,576","21,416",,,"48,288","54,292","1,150,370","92,732",,"45,539","199,366","302,452","142,053",,,"18,417",,,,,"206,681","114,002","416,428","431,073",,,,,,
"36,590",,,,,,,,,"38,872","73,572","129,066",,,"52,195","61,106","163,872","294,910","48,729","182,727","342,774",,,,,,,"304,620",,,,,,,,,,"98,051",,,"203,416","66,519",,"130,384","132,109",,,,"154,475",,,,,"97,012","757,708",,"1,823,741",,"59,008","41,930","138,619","47,091",,"138,092","225,459","199,514","194,126","205,437",,"24,714",,"409,038",,,,,,,"974,170","59,465",,,"32,917","468,375",,,,,,"94,856",,,,,"222,551","516,013",,,,,"114,463","132,270",,,,"714,252",,"40,805",,,,,,,,,,,,,,,,,"175,254",,,,"74,459",,"34,054",,,,,,,,,"59,152",,"54,057",,,"38,271",,,,,,,,"46,911",,,,,"73,567","40,950",,,,,,"490,663","408,125","198,964",,"264,980","194,009","400,800","3,905,559",,,,"33,536","127,106",,,,,,,,,,,,,,,,,,,,,"420,537","152,059","186,414","70,566","132,053","122,437","324,649",,,,"313,342",,,,,,,"188,667","158,286","117,949","132,270","177,394",,"233,394",,,,,,"303,289",,,,,"62,098","30,905",,,,,,,,"37,515",,"96,107",,,,,,,
"179,876",,,,,,,,,"77,772","114,878","378,272",,,"118,248","26,355","134,919","458,587","61,870","291,864","594,611",,,,,,"43,275","435,345",,,,,,,,,,"246,690",,,"335,061","60,692",,"156,968","225,528",,,"36,784","475,139","52,145","15,266",,,"48,934","697,239","46,892","1,025,942","41,701","213,199","160,441","215,730","100,121","21,269","243,039","334,885","335,012","308,758","335,167",,"52,135",,"115,218",,,,"368,901","20,456","39,557","477,654","97,029",,,"31,246","538,851",,,"34,716",,"45,459","396,527",,,,"63,749","523,826","821,727",,,,,"518,871","373,901",,,"20,341","499,476",,"101,500","25,092",,,,,,,,,,,"28,668",,,,"68,078","216,553",,,,"83,667",,,"233,347",,,,,,"17,116",,"48,643","108,509","133,115",,"42,433","120,200",,,,,"34,374",,,"39,184",,,,,"116,102","57,583",,,,,,"795,442","846,051","840,368",,"593,587","384,803","693,556","2,257,408",,,,"61,765","219,738","36,395",,,,,,,,,,,,,,,,,,,,"1,054,229","317,040","566,843","91,150","244,937","174,074","472,319","46,811","21,031",,"804,224",,,,"131,820",,,"353,540","323,346","283,554","271,825","323,289","17,224","568,558",,,,,"18,010","780,163","35,694","40,158","35,938","113,519","130,051","78,504",,,,,,,,"158,772","66,070","351,122","224,404","19,738",,,,,
"186,246",,,,,,,,,"106,614","196,477","361,126",,"96,612","175,276","104,445","302,456","598,308","96,136","273,287","1,655,075",,,,,,"128,203","702,750",,,,,,,,,,"371,871",,,"541,155","201,053",,"371,583","427,266",,,"64,757","1,083,314","99,242",,,,"169,708","2,168,066","56,111","6,608,989","66,685","283,230","192,269","645,411","180,072","51,780","381,882","540,253","548,625","516,325","591,134",,"114,928","55,983","1,359,899",,,,"183,622","37,008","147,497","1,980,610","172,557",,,"161,426","1,662,574",,,"40,177",,"113,494","454,604",,,,"121,527","985,627","1,680,993",,,,,"372,421","663,905","48,461",,,"2,438,996",,"124,136",,,,,,,,,"33,134",,,"45,275",,,,"84,394","627,467",,,,"149,430",,"69,075","203,566",,,"63,334",,,"67,380",,"202,423","111,798","353,830",,"96,511","224,920",,,"50,106",,"66,005","36,811","54,032","74,330","45,929",,,,"131,592","128,011",,,,,,"2,170,546","728,908","902,181",,"844,340","388,081","1,304,850","9,056,105",,,"45,416","169,858","221,171","43,457",,,,,,,,,,,,,,,,,,,,"892,402","427,942","541,078","162,048","360,220","202,880","447,429","56,842",,,"1,072,054",,,,"121,589",,,"508,009","438,484","339,778","351,093","443,070",,"1,216,329",,,,,"40,234","1,138,137","68,552",,"51,167","196,477","211,523","149,457",,,,,"68,056",,,"177,713","70,411","319,385","156,838","82,594",,,,,
